alt,src,price,target,store,clothesType,clothesColor
"CAMISETA UNICOLOR CON CHOKER, H&O, MORADO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hb5/h4f/11412215955486/16740649-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta,morado
"CAMISETA HALTER PRINT, H&O, NEGRO COMBINADO, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/h62/h06/11430304153630/16738489-0_product_300Wx450H,"$8,00",mujer,De Prati,camiseta,negro
"CAMISETA HALTER PRINT, H&O, BEIGE COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/hb7/h60/11412202815518/16738513-0_product_300Wx450H,"$19,99",mujer,De Prati,camiseta,beige
"CAMISETA SISA CON BOTONES, H&O, LILA, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/h74/h91/11412194623518/16738496-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta,lila
"BLUSA ASIMETRICA CON AMARRE, ISABELLA, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h46/h08/11372560154654/16740420-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa,negro
"BLAZER MS CON BOTONES, EXPRESSIONS, PALO ROSA, 79% POLIESTER 17% VISCOSA 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/h3b/h9e/11403747196958/16770888-0_product_300Wx450H,"$49,99",mujer,De Prati,blazer,palo rosa
"BLAZER ABIERTO SIN SOLAPA, EXPRESSIONS, NEGRO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/hf2/hbb/11408479322142/16789417-0_product_300Wx450H,"$59,99",mujer,De Prati,blazer,negro
"CARDIGAN UNICOLOR C BOTONES, H&O, LILA, 65% poliéster 35% viscosa",https://images.deprati.com.ec/sys-master/images/hd7/h99/11407754297374/16696005-0_product_300Wx450H,"$29,99",mujer,De Prati,cardigan,lila
"CAMISETA SMCRP ESTAMPADA, H&O TRYBU, LILA, 100% algodón",https://images.deprati.com.ec/sys-master/images/hb9/hbd/11401542729758/16702904-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta,lila
"BLUSA OFF SHOULDERS, H&O, ARENA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h93/he4/11410247778334/16745936-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa,arena
"BLUSA ML PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hc2/h9d/11410233589790/16745892-0_product_300Wx450H,"$18,00",mujer,De Prati,blusa,negro
"BLUSA TIRAS PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hb0/h8b/11410243780638/16745932-0_product_300Wx450H,"$12,00",mujer,De Prati,blusa,negro
"SHORT CUERINA C HEBILLA, H&O, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hf2/h13/11408134176798/16746008-0_product_300Wx450H,"$23,99",mujer,De Prati,short,negro
"BLUSA MS CON CUELLO ALTO, EXPRESSIONS, GRIS, 100% rayon",https://images.deprati.com.ec/sys-master/images/hd5/h0a/11409949687838/16728154-0_product_300Wx450H,"$29,99",mujer,De Prati,blusa,gris
"SHORT RECTO CON PINZAS, ISABELLA, LILA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/ha2/hea/11409886871582/16701950-0_product_300Wx450H,"$16,50",mujer,De Prati,short,lila
"BLAZER CON 2 BOTONES FORRADOS, ISABELLA, LILA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/he9/haa/11409879793694/16701944-0_product_300Wx450H,"$25,00",mujer,De Prati,blazer,lila
"BLUSA OFF SHOULDERS, H&O, LILA COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/he0/h38/11401213870110/16745958-0_product_300Wx450H,"$15,00",mujer,De Prati,blusa,lila
"BLUSA TIRAS UNICOLOR, H&O, MORADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h97/ha9/11404514459678/16742689-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa,morado
"BLUSA SISA CON APLIQUE, H&O, PALO ROSA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h10/h58/11403362467870/16695836-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa,palo rosa
"CORSET PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h1f/he8/11403335008286/16695591-0_product_300Wx450H,"$14,00",mujer,De Prati,corset,negro
